table;question;ex_correct;correct_index;correct_any;agg_wrong;sel_wrong;conds_wrong
1-10015132-16;What is terrence ross' nationality;1.0;1.0;1.0;0.0;0.0;0.0
1-10015132-16;What clu was in toronto 1995-96;0.0;-1.0;0.0;0.0;1.0;0.0
1-10015132-16;which club was in toronto 2003-06;1.0;1.0;1.0;0.0;0.0;0.0
1-10015132-16;how many schools or teams had jalen rose;1.0;1.0;1.0;0.0;0.0;0.0
1-10083598-1;Where was Assen held?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10083598-1;What was the number of race that Kevin Curtain won?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10083598-1;What was the date of the race in Misano?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-2;How many different positions did Sherbrooke Faucons (qmjhl) provide in the draft?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-2;What are the nationalities of the player picked from Thunder Bay Flyers (ushl);1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-2;How many different college/junior/club teams provided a player to the Washington Capitals NHL Team?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-3;How many different nationalities do the players of New Jersey Devils come from?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-3;What's Dorain Anneck's pick number?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-3;What is the nationality of the player from Vancouver Canucks?;1.0;1.0;1.0;0.0;0.0;0.0
1-1013129-3;What's the pick number of the player from Springfield Olympics (Nejhl)?;1.0;1.0;1.0;0.0;0.0;0.0
1-1014206-2;When were the ships launched that were laid down on september 1, 1964?;1.0;1.0;1.0;0.0;0.0;0.0
1-1014206-2;List the # for ships commissioned on december 18, 1965.;1.0;1.0;1.0;0.0;0.0;0.0
1-1014206-2;List the # for ships commissioned on september 30, 1967.;1.0;1.0;1.0;0.0;0.0;0.0
1-1014206-2;When were ships laid down that were commissioned on october 29, 1965?;1.0;1.0;1.0;0.0;0.0;0.0
1-1015521-2; What could a spanish coronel be addressed as in the commonwealth military?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1015521-2;Give me a list of all spanish officer titles that could receive recognition as group captain in english;0.0;-1.0;0.0;0.0;1.0;1.0
1-1015521-2;If you are a pilot officer in the commonwealth then what will you called as in the US air force?;1.0;1.0;1.0;0.0;0.0;0.0
1-1015521-2;If you're a major general in the US air force then what ranking will you receive in the commonwealth's air force?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1015521-2;If you get a ranking as major in the  english military then what would the spanish military address you as? ;0.0;-1.0;0.0;0.0;1.0;1.0
1-10182508-5;Which wrestlers have had 2 reigns?;1.0;1.0;1.0;0.0;0.0;0.0
1-10182508-5;In terms of reigns, what is the lowest number listed?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10182508-5;What rank was Bryan Danielson in this chart?;1.0;1.0;1.0;0.0;0.0;0.0
